Date,Stock,KNO,W,H,E,N,RD,%
03/03/2005,WAG,44.65,311,4,3,3,1,D,47
03/04/2005,CHK,23.28,311,1,1,3,1,D,83
03/04/2005,DTE,45.79,311,1,3,3,1,D,67
03/04/2005,ROST,30.41,311,4,5,1,1,D,57
03/07/2005,CNX,46.57,311,1,3,3,1,D,67
03/07/2005,ESRX,86.59,311,2,3,2,1,D,67
03/21/2005,EIX,34.75,311,1,3,4,1,D,63
03/23/2005,WAG,46.47,311,1,3,1,1,D,83
04/01/2005,RIG,53.23,311,1,3,3,1,D,67
04/05/2005,DNB,64.35,311,1,3,3,1,D,67
04/06/2005,PXD,44.96,311,2,3,1,1,D,75
04/07/2005,UNH,99.08,311,2,3,2,1,D,67
04/19/2005,GME,24.10,311,1,3,2,1,D,75
05/03/2005,RSG,35.47,311,1,3,1,1,D,83
05/04/2005,BMY,26.48,311,4,3,3,1,D,47
05/04/2005,CERN,61.28,311,4,1,2,1,D,72
05/05/2005,ALL,57.47,311,1,2,2,1,D,83
05/05/2005,PSA,60.06,311,1,4,3,1,D,63
05/09/2005,PWR,9.00,311,1,2,1,1,D,92
05/17/2005,BRCM,34.99,311,1,2,1,1,D,92
05/19/2005,GME,28.02,311,4,2,2,1,D,63
05/20/2005,SPG,70.36,311,4,1,1,1,D,80
05/27/2005,GLW,15.50,311,4,1,3,1,D,63
05/27/2005,PPL,57.28,311,1,3,0,1,D,60
05/27/2005,PVH,31.25,311,1,2,2,1,D,83
05/27/2005,SWN,70.79,311,1,3,5,1,D,60
05/27/2005,WEC,36.31,311,1,4,0,1,D,56
05/31/2005,AEE,54.58,311,4,2,4,1,D,52
05/31/2005,EQT,63.56,311,1,2,1,1,D,92
06/03/2005,GME,31.08,311,3,1,5,1,D,60
06/06/2005,AGN,83.61,311,2,1,2,1,D,83
06/06/2005,CVS,58.06,311,2,2,2,1,D,75
06/08/2005,AVB,78.76,311,1,2,0,1,D,70
06/09/2005,GILD,43.62,311,1,2,0,1,D,70
06/10/2005,TE,18.31,311,1,2,1,1,D,92
06/13/2005,HRB,56.53,311,2,1,2,1,D,83
